#DEG_AC	#Gene_Name	#Gene_Ref	#COG	#Class	#Function	#Organism	#Refseq	#Condition
DEG20090014	gpi18	429241544	-	-	pig-V, dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090015	pfs2	19113796	-	-	WD repeat protein Pfs2	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090016	mrpl6	19113802	-	-	mitochondrial ribosomal protein subunit L16 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090017	-	19113804	-	-	rRNA processing protein (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090018	taf9	19113805	-	-	SAGA complex/ transcription initiation factor Taf9	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090019	mcp60	19113806	-	-	mitochondrial heat shock protein Hsp60/Mcp60	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090020	-	19113808	-	-	rRNA-processing protein	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090021	arp3	19113810	-	-	actin-like protein Arp3	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090022	erg25	19113815	-	-	C-4 methylsterol oxidase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090023	-	19113820	-	-	ER lipid phosphatase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090024	rsm19	295442928	-	-	mitochondrial ribosomal protein subunit S19 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090025	-	63054479	-	-	translation initiation factor eIF3m	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090026	mrpl11	19113827	-	-	mitochondrial ribosomal protein subunit L11 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090027	-	19113828	-	-	20S proteasome component beta 4 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090028	mis4	429241590	-	-	adherin, cohesin loading factor Mis4	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090029	dbp10	19113831	-	-	ATP-dependent RNA helicase Dbp10 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090030	mrp20	19113832	-	-	mitochondrial ribosomal protein subunit L23 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090031	lsd2	19113849	-	-	histone demethylase SWIRM2 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090032	uba3	19113852	-	-	NEDD8 activating enzyme	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090033	sld3	429241621	-	-	DNA replication pre-initiation complex subunit Sld3	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090034	cdc25	19113859	-	-	M phase inducer phosphatase Cdc25	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090035	-	295442930	-	-	membrane bound O-acyltransferase, MBOAT (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090036	-	19113868	-	-	rRNA processing protein Rrp15 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090037	yth1	19113874	-	-	mRNA cleavage and polyadenylation specificity factor complex Yth1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090038	-	19113875	-	-	folylpolyglutamate synthase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090039	-	19113878	-	-	U4/U6 x U5 tri-snRNP complex subunit Prp4 family (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090040	psf3	19113882	-	-	GINS complex subunit Psf3	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090041	-	19113888	-	-	eukaryotic translation initiation factor 5	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090042	wrs1	19113895	-	-	tryptophan-tRNA ligase Wrs1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090043	-	19113896	-	-	exosome subunit Rrp4 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090044	rsm24	19113897	-	-	mitochondrial ribosomal protein subunit S24 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090045	erg11	19113902	-	-	sterol 14-demethylase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090046	aur1	19113911	-	-	inositol phosphorylceramide synthase Aur1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090047	spo20	19113915	-	-	sec14 cytosolic factor family Sec14	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090048	rrp6	63054485	-	-	exosome 3'-5' exoribonuclease subunit Rrp6 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090049	cct2	19113929	-	-	chaperonin-containing T-complex beta subunit Cct2	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090050	pis1	19113933	-	-	CDP-diacylglycerol--inositol 3-phosphatidyltransferase Pis1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090051	trz1	19113935	-	-	3'-tRNA processing endonuclease tRNAse Z L2 Trz1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090052	rad15	19113937	-	-	transcription factor TFIIH complex subunit Rad15	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090053	tho2	162312372	-	-	THO complex subunit Tho2 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090054	alp41	19113948	-	-	ADP-ribosylation factor Alp41	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090055	nup45	19113970	-	-	nucleoporin Nup45	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090056	-	19113971	-	-	fip1-like pre-mRNA polyadenylation factor	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090057	sss1	19113973	-	-	translocon gamma subunit Sss1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090058	-	19113981	-	-	mitochondrial leucine-tRNA ligase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090059	-	19113984	-	-	alpha-1,2-mannosyltransferase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090060	nmd3	19113989	-	-	export adaptor Nmd3 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090061	urb2	19113994	-	-	ribosome biogenesis protein Urb2 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090062	smn1	19114000	-	-	SMN family protein Smn1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090063	prh1	19114003	-	-	ATP-dependent RNA helicase Prh1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090064	taf111	19114006	-	-	transcription factor TFIID complex subunit Taf111	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090065	rpb2	63054498	-	-	RNA polymerase II complex subunit Rpb2	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090066	-	19114018	-	-	U3 snoRNP protein Nop58 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090067	taf4	19114021	-	-	transcription factor TFIID complex subunit Taf4 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090068	rpn6	19114023	-	-	19S proteasome regulatory subunit Rpn6 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090069	rpc19	63054500	-	-	DNA-directed RNA polymerase I and III subunit Rpc19	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090070	-	19114032	-	-	CAAX prenyl protease (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090071	rfc4	19114033	-	-	DNA replication factor C complex subunit Rfc4 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090072	mcb1	19114034	-	-	mini-chromosome maintenance complex-binding protein mcb1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090073	spb1	19114041	-	-	rRNA methyltransferase Spb1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090074	ssl3	19114049	-	-	cohesin loading factor Ssl3	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090075	mis6	19114051	-	-	centromere connector protein mis6	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090076	tim10	19114054	-	-	Tim9-Tim10 complex subunit Tim10 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090077	mak16	19114057	-	-	nuclear HMG-like acidic protein Mak16 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090078	seb1	19114060	-	-	RNA-binding protein Seb1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090079	byr4	19114061	-	-	two-component GAP Byr4	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090080	hem13	19114062	-	-	coproporphyrinogen III oxidase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090081	slp1	19114073	-	-	WD repeat-containing protein	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090082	orb6	19114077	-	-	serine/threonine protein kinase Orb6	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090083	sec2	19114094	-	-	guanyl-nucleotide exchange factor Sec2 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090084	bet1	19114097	-	-	SNARE Bet1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090085	alg1	19114098	-	-	mannosyltransferase complex subunit Alg1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090086	rpb5	19114099	-	-	DNA-directed RNA polymerase I, II and III subunit Rpb5	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090087	rad4	19114102	-	-	BRCT domain protein Rad4	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090088	spt5	19114103	-	-	transcription elongation factor Spt5	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090089	-	162312390	-	-	WD repeat-containing protein	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090090	hus5	19114116	-	-	SUMO conjugating enzyme Hus5	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090091	phf2	19114121	-	-	Lsd1/2 complex PHD finger containing protein Phf2	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090092	ddx27	19114126	-	-	ATP-dependent RNA helicase Ddx27/Drs1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090093	-	19114130	-	-	translation initiation factor IF2 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090094	met9	19114136	-	-	methylenetetrahydrofolate reductase Met9	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090095	spc3	19114137	-	-	signal peptidase subunit Spc3 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090096	rpc11	19114147	-	-	DNA-directed RNA polymerase III complex subunit Rpc11	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090097	-	19114150	-	-	cardiolipin synthase/ hydrolase fusion protein (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090098	sap114	19114151	-	-	splicing factor Sap114	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090099	-	19114154	-	-	exosome subunit Rrp40 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090100	mug84	429241916	-	-	pig-P subunit (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090101	bip1	19114157	-	-	ER heat shock protein BiP	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090102	prp22	19114165	-	-	ATP-dependent RNA helicase Prp22	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090103	cts1	19114166	-	-	CTP synthase Cts1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090104	psm3	19114172	-	-	mitotic cohesin complex subunit Psm3	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090105	-	429241934	-	-	protein kinase, RIO family (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090106	alg13	19114181	-	-	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase Alg13 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090107	cut6	19114183	-	-	acetyl-CoA/biotin carboxylase	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090108	mug69	19114184	-	-	ENV10 family protein (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090109	cct5	19114189	-	-	chaperonin-containing T-complex epsilon subunit Cct5	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090110	sen2	67993595	-	-	tRNA-splicing endonuclease subunit catalytic subunit Sen2 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090111	-	67993601	-	-	sequence orphan	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090112	-	67993605	-	-	mitochondrial 2' O-ribose methyltransferase Mrm2-like (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090113	-	67993609	-	-	oligosaccharyltransferase gamma subunit Ost3 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090114	-	19114196	-	-	sequence orphan	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090115	spg1	19114197	-	-	GTPase Spg1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090116	cdc48	63054529	-	-	AAA family ATPase Cdc48	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090117	tnr3	19114203	-	-	thiamine diphosphokinase Tnr3	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090118	tom20	19114205	-	-	mitochondrial TOM complex subunit Tom20 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090119	-	295442958	-	-	exocyst complex subunit Exo84 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090120	sfc1	19114209	-	-	transcription factor TFIIIC complex A box associated subunit Sfc1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090121	fps1	19114211	-	-	geranyltranstransferase Fps1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090122	cut23	19114212	-	-	anaphase-promoting complex subunit Apc8	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090123	cut9	19114213	-	-	anaphase-promoting complex subunit Cut9	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090124	mtr4	19114214	-	-	ATP-dependent RNA helicase, TRAMP complex subunit Mtr4	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090125	rna14	19114215	-	-	mRNA cleavage and polyadenylation specificity factor complex subunit Rna14 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090126	pof1	19114222	-	-	F-box/WD repeat protein protein Pof1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090127	tim40	19114228	-	-	TIM22 inner membrane protein import complex subunit Tim40 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090128	cdc17	63054532	-	-	ATP-dependent DNA ligase Cdc17	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090129	itr2	19114232	-	-	MFS myo-inositol transporter	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090130	cdc15	19114234	-	-	extended Fer/CIP4 (EFC) domain protein Cdc15	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090131	not1	19114235	-	-	CCR4-Not complex subunit Not1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090132	-	19114240	-	-	mitochondrial inorganic diphosphatase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090133	-	19114242	-	-	RNase P and RNase MRP subunit p30 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090134	taf2	295442960	-	-	TATA-binding protein associated factor Taf2 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090135	-	67993757	-	-	mitochondrial ribosomal protein subunit L27 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090136	rpb11	19114245	-	-	RNA polymerase II complex subunit Rpb11	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090137	cwf2	19114249	-	-	RNA-binding protein Cwf2	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090138	cam1	19114252	-	-	calmodulin Cam1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090139	vps53	19114253	-	-	GARP complex subunit Vps53 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090140	tim17	19114254	-	-	TIM23 translocase complex subunit Tim17 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090141	zwf1	63054535	-	-	glucose-6-phosphate 1-dehydrogenase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090142	brr2	19114258	-	-	U5 snRNP complex subunit Brr2 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090143	mip1	19114282	-	-	WD repeat-containing protein	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090144	sec21	19114283	-	-	coatomer gamma subunit Sec21 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090145	-	19114287	-	-	U3 snoRNP protein Utp14 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090146	snu66	19114294	-	-	U4/U6 x U5 tri-snRNP complex subunit Snu66 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090147	ptb1	19114295	-	-	geranylgeranyltransferase II beta subunit Ptb1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090148	rbx1	19114300	-	-	RING-box protein 1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090149	-	19114303	-	-	ribosome biogenesis protein Tsr1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090150	cnl2	19114307	-	-	centromere localized protein Cnl2	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090151	srp102	19114311	-	-	signal recognition particle receptor beta subunit Srp102 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090152	gln1	19114312	-	-	glutamate-ammonia ligase Gln1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090153	-	19114314	-	-	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090154	erv25	19114315	-	-	COPII-coated vesicle component Erv25 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090155	-	19114319	-	-	D123 family protein	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090156	tad3	19114320	-	-	tRNA specific adenosine deaminase subunit Tad3	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090157	-	19114323	-	-	serine/threonine protein kinase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090158	-	19114325	-	-	GTP cyclohydrolase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090159	nop10	19114330	-	-	snoRNP pseudouridylase box H/ACA snoRNP complex protein (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090160	erg8	162312410	-	-	phosphomevalonate kinase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090161	img1	19114334	-	-	mitochondrial ribosomal protein subunit L19 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090162	apc11	19114335	-	-	anaphase-promoting complex subunit Apc11	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090163	vma1	19114337	-	-	V-type ATPase V1 domain, subunit A	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090164	mrp17	429242121	-	-	mitochondrial ribosomal protein subunit Mrp17 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090165	-	19114346	-	-	mitochondrial glutamyl-tRNA amidotransferase beta subunit (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090166	-	19114347	-	-	translation initiation factor eIF2B beta subunit (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090167	-	19114350	-	-	WD repeat-containing protein	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090168	rpl13	19114365	-	-	60S ribosomal protein L13	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090169	rlp7	19114366	-	-	ribosome biogenesis protein rlp7	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090170	-	19114368	-	-	traub family protein involved in ribosome biogenesis (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090171	ggt1	19114369	-	-	gamma-glutamyltranspeptidase Ggt1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090172	ssc1	19114371	-	-	mitochondrial heat shock protein Hsp70	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090173	rpl301	19114383	-	-	60S ribosomal protein L3	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090174	ptr8	19114386	-	-	transcription factor TFIIH complex ERCC-3 subunit	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090175	ucp7	19114392	-	-	UBA/TPR/DNAJ domain protein Ucp7	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090176	-	19114393	-	-	GTP cyclohydrolase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090177	-	19114395	-	-	glutamate-tRNA ligase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090178	taf11	19114403	-	-	transcription factor TFIID complex subunit Taf11 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090179	mtf1	19114407	-	-	mitochondrial RNA polymerase specificity factor Mtf1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090180	dld1	19114408	-	-	dihydrolipoamide dehydrogenase Dld1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090181	sgt1	19114409	-	-	SGT1 family transcriptional regulator Sgt1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090182	gaa1	19114410	-	-	GPI-anchor transamidase complex subunit Gaa1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090183	psu1	19114412	-	-	cell wall protein Psu1, beta-glucosidase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090184	-	19114416	-	-	nicotinic acid plasma membrane transporter (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090185	scm3	19114428	-	-	CENP-A chaperone Scm3	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090186	cwp1	19114430	-	-	geranylgeranyltransferase I alpha subunit Cwp1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090187	-	19114432	-	-	ATP-dependent RNA helicase Dhr1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090188	mse1	19114437	-	-	mitochondrial glutamyl-tRNA synthetase Mse1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090189	cdc42	19114448	-	-	Rho family GTPase Cdc42	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090190	pss1	162312422	-	-	heat shock protein Pss1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090191	bos1	19114451	-	-	SNARE Bos1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090192	orc3	162312424	-	-	origin recognition complex subunit Orp3 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090193	sid1	19114476	-	-	PAK-related GC kinase Sid1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090194	swc4	295442979	-	-	Swr1 complex subunit Swc4	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090195	-	19114484	-	-	TRAMP complex ATP-dependent RNA helicase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090196	ebp2	19114487	-	-	rRNA processing protein Ebp2 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090197	-	19114489	-	-	signal recognition particle subunit Srp21 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090198	tom22	19114497	-	-	mitochondrial TOM complex subunit Tom22 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090199	mdm10	19114498	-	-	Mdm10/Mdm12/Mmm1 complex subunit Mdm10 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090200	psc3	162312428	-	-	mitotic cohesin complex, non-SMC subunit Psc3	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090201	snu13	19114504	-	-	U3 snoRNP-associated protein Snu13	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090202	-	19114505	-	-	inositol polyphosphate kinase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090203	rpn9	19114506	-	-	19S proteasome regulatory subunit Rpn9	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090204	vma11	19114512	-	-	V-type ATPase V0 proteolipid subunit (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090205	cnx1	19114524	-	-	calnexin Cnx1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090206	utp5	162312434	-	-	U3 snoRNP-associated protein Utp5 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090207	-	19114546	-	-	U3 snoRNP-associated protein Mpp1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090208	-	19114548	-	-	inorganic pyrophosphatase (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090209	ala1	19114552	-	-	mitochondrial and cytoplasmic alanine-tRNA ligase Ala1 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090210	cka1	19114554	-	-	serine/threonine protein kinase Cka1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090211	hcn1	19114555	-	-	anaphase-promoting complex subunit Hcn1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090212	plo1	19114559	-	-	Polo kinase Plo1	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090213	mdm28	19114560	-	-	mitochondrial inner membrane protein involved in potassium ion transport Mdm28 (predicted)	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
DEG20090214	ptr6	19114562	-	-	transcription factor TFIID complex subunit Taf7	Schizosaccharomyces pombe 972h-	NC_003424	Rich medium
