UniProtKB	DIP	Entry.name	Protein.names	Gene.names	Length	Gene.names.ORF	Gene.names.ordered.locus	Gene.names.synonym	Gene.names.primary	Cross.ref.RefSeq	Cross.ref.EnsembleFungi	Cross.ref.GeneID	Cross.ref.CYGD	Cross.ref.SGD	Probe.Set.IDs
Q01476	DIP-2647N	UBP2_YEAST	Ubiquitin carboxyl-terminal hydrolase 2 (EC 3.4.19.12) (Deubiquitinating enzyme 2) (Ubiquitin thioesterase 2) (Ubiquitin-specific-processing protease 2)	UBP2 YOR124C O3281 YOR3281C	1272	O3281 YOR3281C	YOR124C	---	UBP2	NP_014767.3;	YOR124C;	854291;	YOR124c;	S000005650;	8416_at
P06738	DIP-2648N	PHSG_YEAST	Glycogen phosphorylase (EC 2.4.1.1)	GPH1 YPR160W P9584.1	902	P9584.1	YPR160W	---	GPH1	NP_015486.1;	YPR160W;	856289;	---	S000006364;	7604_at
P47117	DIP-2649N	ARP3_YEAST	Actin-related protein 3 (Actin-like protein ARP3) (Actin-like protein 3)	ARP3 ACT4 YJR065C J1760	449	J1760	YJR065C	ACT4	ARP3	NP_012599.3;	YJR065C;	853528;	YJR065c;	S000003826;	10949_at
Q12421	DIP-2667N	ATG31_YEAST	Autophagy-related protein 31 (CIK1 suppressor protein 1) (Protein CIS1)	ATG31 CIS1 YDR022C PZD196 YD9335.08c	196	PZD196 YD9335.08c	YDR022C	CIS1	ATG31	NP_010305.1;	YDR022C;	851585;	YDR022c;	S000002429;	6437_at
P20447	DIP-2668N	DBP3_YEAST	ATP-dependent RNA helicase DBP3 (EC 3.6.4.13) (DEAD box protein 3) (Helicase CA3)	DBP3 YGL078C	523	---	YGL078C	---	DBP3	NP_011437.3;	YGL078C;	852802;	YGL078c;	S000003046;	5073_at
P53849	DIP-2669N	GIS2_YEAST	Zinc finger protein GIS2	GIS2 YNL255C N0852	153	N0852	YNL255C	---	GIS2	NP_014144.1;	YNL255C;	855466;	YNL255c;	S000005199;	9139_at
P35999	DIP-2670N	PMIP_YEAST	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	OCT1 MIP1 YKL134C	772	---	YKL134C	MIP1	OCT1	NP_012788.2;	YKL134C;	853724;	---	S000001617;	10694_at
P00912	DIP-2671N	TRPF_YEAST	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)	TRP1 YDR007W	224	---	YDR007W	---	TRP1	NP_010290.3;	YDR007W;	851570;	YDR007w;	S000002414;	6468_at
P40030	DIP-2672N	ERG28_YEAST	Ergosterol biosynthetic protein 28	ERG28 BUD18 YER044C	148	---	YER044C	BUD18	ERG28	NP_010962.1;	YER044C;	856767;	YER044c;	S000000846;	5655_n_at;5699_at;5700_at
P53102	DIP-2673N	MND1_YEAST	Meiotic nuclear division protein 1	MND1 YGL183C G1604	219	G1604	YGL183C	---	MND1	NP_011332.2;	YGL183C;	852692;	YGL183c;	S000003151;	5197_at
P53310	DIP-2674N	YG55_YEAST	Putative uncharacterized protein YGR242W	YGR242W	102	---	YGR242W	---	---	---	YGR242W;	---	---	S000003474;	4762_at
P32447	DIP-2675N	ASF1_YEAST	Histone chaperone ASF1 (Anti-silencing function protein 1) (yASF1)	ASF1 CIA1 YJL115W J0755	279	J0755	YJL115W	CIA1	ASF1	NP_012420.1;	YJL115W;	853327;	YJL115w;	S000003651;	11134_at
Q03691	DIP-2676N	ROT1_YEAST	Protein ROT1 (Reversal of TOR2 lethality protein 1)	ROT1 YMR200W YM8325.01	256	YM8325.01	YMR200W	---	ROT1	NP_013927.1;	YMR200W;	855240;	YMR200w;	S000004813;	9427_at
P40559	DIP-2677N	INP51_YEAST	Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP51 (EC 3.1.3.36) (Synaptojanin-like protein 1)	INP51 SJL1 YIL002C YIA2C	946	YIA2C	YIL002C	SJL1	INP51	NP_012264.3;	YIL002C;	854815;	YIL002c;	S000001264;	4080_at
P32584	DIP-2678N	STE14_YEAST	Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT)	STE14 YDR410C D9461.1	239	D9461.1	YDR410C	---	STE14	NP_010698.1;	YDR410C;	852019;	YDR410c;	S000002818;	6061_at
Q99326	DIP-2679N	YO338_YEAST	SWIRM domain-containing protein YOR338W	YOR338W O6265	363	O6265	YOR338W	---	---	NP_014983.1;	YOR338W;	854516;	YOR338w;	S000005865;	8228_at
P22224	DIP-2681N	SEC15_YEAST	Exocyst complex component SEC15	SEC15 YGL233W	910	---	YGL233W	---	SEC15	NP_011281.1;	YGL233W;	852618;	YGL233w;	S000003202;	5235_at
P32618	DIP-2682N	YEF3_YEAST	Uncharacterized protein YEL043W	YEL043W SYGP-ORF14	956	SYGP-ORF14	YEL043W	---	---	NP_010871.3;	YEL043W;	856668;	YEL043w;	S000000769;	5747_at
P53280	DIP-2683N	CF130_YEAST	Protein CAF130 (130 kDa CCR4-associated factor)	CAF130 YGR134W	1122	---	YGR134W	---	CAF130	NP_011650.3;	YGR134W;	853035;	YGR134w;	S000003366;	4879_at
P46682	DIP-2684N	AP3B_YEAST	AP-3 complex subunit beta (Adaptor-related protein complex 3 subunit beta) (Beta-3-adaptin) (Clathrin assembly protein complex 3 beta large chain) (Clathrin assembly protein large beta chain)	APL6 YKS5 YGR261C G9331	809	G9331	YGR261C	YKS5	APL6	NP_011777.3;	YGR261C;	853177;	YGR261c;	S000003493;	4737_at
Q07872	DIP-2685N	ENT4_YEAST	Epsin-4	ENT4 YLL038C	247	---	YLL038C	---	ENT4	NP_013062.1;	YLL038C;	850621;	YLL038c;	S000003961;	10393_at
P40095	DIP-2686N	YEY8_YEAST	Uncharacterized protein YER158C	YER158C	573	---	YER158C	---	---	NP_011085.1;	YER158C;	856903;	YER158c;	S000000960;	5552_at
P21339	DIP-2687N	MSB1_YEAST	Morphogenesis-related protein MSB1 (Multicopy suppressor of bud emergence 1)	MSB1 YOR188W	1137	---	YOR188W	---	MSB1	NP_014831.3;	YOR188W;	854360;	YOR188w;	S000005714;	8344_at
P40583	DIP-2688N	YPS6_YEAST	Aspartic proteinase yapsin-6 (EC 3.4.23.-)	YPS6 YIR039C	537	---	YIR039C	---	YPS6	NP_012305.3;	YIR039C;	854857;	YIR039c;	S000001478;	4075_at
P33314	DIP-2689N	BUD2_YEAST	Inhibitory regulator protein BUD2/CLA2 (Bud site selection protein 2)	BUD2 CLA2 ERC25 YKL092C YKL424	1104	YKL424	YKL092C	CLA2 ERC25	BUD2	NP_012831.1;	YKL092C;	853770;	YKL092c;	S000001575;	10647_at
P40476	DIP-2690N	PRM5_YEAST	Pheromone-regulated membrane protein 5	PRM5 YIL117C	318	---	YIL117C	---	PRM5	NP_012149.1;	YIL117C;	854689;	YIL117c;	S000001379;	4194_at
Q02891	DIP-2691N	MCFS1_YEAST	Medium-chain fatty acid ethyl ester synthase/esterase 1 (Alcohol O-acetyltransferase) (EC 2.3.1.84) (EC 3.1.1.-) (Ethyl ester biosynthesis protein 1)	EEB1 YPL095C LPG13C	456	LPG13C	YPL095C	---	EEB1	NP_015230.1;	YPL095C;	856010;	YPL095c;	S000006016;	7840_at
Q08754	DIP-2692N	BUD7_YEAST	Bud site selection protein 7	BUD7 YOR299W	746	---	YOR299W	---	BUD7	NP_014943.1;	YOR299W;	854475;	YOR299w;	S000005825;	8232_at;8233_g_at
P38932	DIP-2693N	VPS45_YEAST	Vacuolar protein sorting-associated protein 45	VPS45 STT10 VPL28 YGL095C	577	---	YGL095C	STT10 VPL28	VPS45	NP_011420.3;	YGL095C;	852785;	YGL095c;	S000003063;	5102_at
P36080	DIP-2694N	RRP14_YEAST	Ribosomal RNA-processing protein 14 (Ribosome biogenesis protein RRP14)	RRP14 YKL082C	434	---	YKL082C	---	RRP14	NP_012841.1;	YKL082C;	853780;	YKL082c;	S000001565;	10656_at
Q03557	DIP-2695N	GATA_YEAST	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7) (HMG2-induced ER-remodeling protein 2) (Loss of respiratory capacity protein 6)	HER2 GEP6 LRC6 YMR293C	464	---	YMR293C	GEP6 LRC6	HER2	NP_014021.1;	YMR293C;	855338;	YMR293c;	S000004907;	9343_at
P28495	DIP-2696N	CAPZA_YEAST	F-actin-capping protein subunit alpha	CAP1 YKL007W YKL155	268	YKL155	YKL007W	---	CAP1	NP_012918.1;	YKL007W;	853862;	YKL007w;	S000001490;	10600_at
P38272	DIP-2037N	SHE3_YEAST	SWI5-dependent HO expression protein 3	SHE3 YBR130C YBR1005	425	YBR1005	YBR130C	---	SHE3	NP_009688.3;	YBR130C;	852427;	YBR130c;	S000000334;	7221_at
P47079	DIP-2697N	TCPQ_YEAST	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta)	CCT8 YJL008C J1374	568	J1374	YJL008C	---	CCT8	NP_012526.1;	YJL008C;	853447;	YJL008c;	S000003545;	11013_at
Q05785	DIP-2698N	ENT2_YEAST	Epsin-2	ENT2 YLR206W	613	---	YLR206W	---	ENT2	NP_013307.1;	YLR206W;	850903;	YLR206w;	S000004196;	10144_at
P50078	DIP-2699N	TOS2_YEAST	Protein TOS2 (Target of SBF 2)	TOS2 YGR221C G8523	622	G8523	YGR221C	---	TOS2	NP_011737.2;	YGR221C;	853136;	YGR221c;	S000003453;	4787_at
P40507	DIP-2700N	AIR1_YEAST	Protein AIR1 (Arginine methyltransferase-interacting RING finger protein 1)	AIR1 YIL079C	360	---	YIL079C	---	AIR1	NP_012186.1;	YIL079C;	854731;	YIL079c;	S000001341;	4185_at
P34241	DIP-2701N	URB1_YEAST	Nucleolar pre-ribosomal-associated protein 1 (Unhealthy ribosome biogenesis protein 1)	URB1 NPA1 YKL014C	1764	---	YKL014C	NPA1	URB1	NP_012911.3;	YKL014C;	853855;	YKL014c;	S000001497;	10593_at
P36157	DIP-2702N	MSA2_YEAST	Putative transcriptional activator MSA2 (MBF and SBF-associated protein 2)	MSA2 YKR077W	363	---	YKR077W	---	MSA2	NP_013003.1;	YKR077W;	853952;	YKR077w;	S000001785;	10502_at
Q02606	DIP-2703N	YP014_YEAST	Uncharacterized protein YPL014W	YPL014W	381	---	YPL014W	---	---	NP_015311.1;	YPL014W;	856093;	YPL014w;	S000005935;	7784_at
P25694	DIP-2704N	CDC48_YEAST	Cell division control protein 48 (Cell division cycle protein 48)	CDC48 YDL126C	835	---	YDL126C	---	CDC48	NP_010157.1;	YDL126C;	851431;	YDL126c;	S000002284;	6604_at
P87283	DIP-2705N	YD274_YEAST	Putative uncharacterized protein YDR274C	YDR274C D9954.4A	123	D9954.4A	YDR274C	---	---	---	YDR274C;	---	YDR274c;	S000002682;	6194_at
P40505	DIP-2706N	SDS3_YEAST	Transcriptional regulatory protein SDS3 (Suppressor of defective silencing protein 3)	SDS3 YIL084C	327	---	YIL084C	---	SDS3	NP_012182.1;	YIL084C;	854725;	YIL084c;	S000001346;	4182_at
P47057	DIP-2707N	SNX4_YEAST	Sorting nexin-4 (Autophagy-related protein 24) (Cytoplasm to vacuole targeting protein 13)	SNX4 ATG24 CVT13 YJL036W J1244	423	J1244	YJL036W	ATG24 CVT13	SNX4	NP_012498.1;	YJL036W;	853416;	YJL036w;	S000003573;	11076_at
P53857	DIP-2708N	YNX4_YEAST	Uncharacterized globin-like protein YNL234W	YNL234W N1142	426	N1142	YNL234W	---	---	NP_014165.1;	YNL234W;	855487;	YNL234w;	S000005178;	9114_at
P48231	DIP-2709N	TCB2_YEAST	Tricalbin-2	TCB2 YNL087W N2250	1178	N2250	YNL087W	---	TCB2	NP_014312.1;	YNL087W;	855637;	YNL087w;	S000005031;	8945_at
P30283	DIP-2710N	CGS5_YEAST	S-phase entry cyclin-5	CLB5 YPR120C P9642.8	435	P9642.8	YPR120C	---	CLB5	NP_015445.1;	YPR120C;	856237;	YPR120c;	S000006324;	7652_at
Q05670	DIP-2711N	FUS2_YEAST	Nuclear fusion protein FUS2	FUS2 YMR232W YM9959.14	677	YM9959.14	YMR232W	---	FUS2	NP_013959.1;	YMR232W;	855272;	YMR232w;	S000004845;	9371_at
P32526	DIP-2712N	KAR9_YEAST	Karyogamy protein KAR9 (Cortical protein KAR9)	KAR9 YPL269W	644	---	YPL269W	---	KAR9	NP_015054.1;	YPL269W;	855859;	YPL269w;	S000006190;	8026_at
P23748	DIP-2713N	MPIP_YEAST	M-phase inducer phosphatase (EC 3.1.3.48) (Mitosis initiation protein MIH1) (Mitotic inducer homolog)	MIH1 YMR036C YM9532.01C YM9973.10C	554	YM9532.01C YM9973.10C	YMR036C	---	MIH1	NP_013750.1;	YMR036C;	855052;	YMR036c;	S000004639;	9614_at
Q08471	DIP-2714N	MSA1_YEAST	G1-specific transcription factors activator MSA1 (MBF and SBF-associated protein 1)	MSA1 YOR066W YOR29-17	629	YOR29-17	YOR066W	---	MSA1	NP_014709.1;	YOR066W;	854232;	YOR066w;	S000005592;	8494_at
Q12744	DIP-2715N	YM094_YEAST	Putative uncharacterized protein YML094C-A	YML094C-A YML095C-A	133	YML095C-A	YML094C-A	---	---	---	YML094C-A;	---	---	S000004561;	9750_at
Q04461	DIP-2716N	YM01_YEAST	Uncharacterized protein YMR111C	YMR111C YM9718.10C	462	YM9718.10C	YMR111C	---	---	NP_013829.1;	YMR111C;	855138;	YMR111c;	S000004717;	9507_at
P48568	DIP-2717N	YD186_YEAST	Uncharacterized protein YDL186W	YDL186W D1281	277	D1281	YDL186W	---	---	NP_010095.1;	YDL186W;	851340;	YDL186w;	S000002345;	6678_at
P38870	DIP-2718N	YHY2_YEAST	Uncharacterized protein YHR182W	YHR182W	785	---	YHR182W	---	---	NP_012052.1;	YHR182W;	856588;	YHR182w;	S000001225;	4342_at
Q99332	DIP-2719N	HPH1_YEAST	Protein HPH1 (Functionally related to TCP1 protein 1) (High pH protein 1)	FRT1 HPH1 YOR324C O6159	602	O6159	YOR324C	HPH1	FRT1	NP_014969.3;	YOR324C;	854503;	YOR324c;	S000005851;	8214_at
P48836	DIP-2720N	VATG_YEAST	V-type proton ATPase subunit G (V-ATPase subunit G) (V-ATPase 13 kDa subunit) (Vacuolar proton pump subunit G)	VMA10 YHR039C-A YHR039BC YHR039C-B	114	YHR039BC YHR039C-B	YHR039C-A	---	VMA10	NP_011905.1;	YHR039C-A;	856435;	YHR039c-a;	S000002100;	4514_at
P35729	DIP-2721N	NU120_YEAST	Nucleoporin NUP120 (Nuclear pore protein NUP120)	NUP120 RAT2 YKL057C YKL313 YKL314	1037	YKL313 YKL314	YKL057C	RAT2	NUP120	NP_012866.1;	YKL057C;	853808;	YKL057c;	S000001540;	10639_at
Q03088	DIP-2723N	SVL3_YEAST	Styryl dye vacuolar localization protein 3	SVL3 YPL032C P7102.17	825	P7102.17	YPL032C	---	SVL3	NP_015293.1;	YPL032C;	856075;	YPL032c;	S000005953;	7766_at
Q06440	DIP-2722N	CORO_YEAST	Coronin-like protein	CRN1 YLR429W L9576.2	651	L9576.2	YLR429W	---	CRN1	NP_013533.1;	YLR429W;	851148;	YLR429w;	S000004421;	9876_at
P53968	DIP-2724N	CRZ1_YEAST	Transcriptional regulator CRZ1	CRZ1 HAL8 TCN1 YNL027W N2760	678	N2760	YNL027W	HAL8 TCN1	CRZ1	NP_014371.1;	YNL027W;	855704;	YNL027w;	S000004972;	8868_at
P38890	DIP-2725N	SET5_YEAST	Putative protein lysine methyltransferase SET5 (EC 2.1.1.-) (SET domain-containing protein 5)	SET5 YHR207C	526	---	YHR207C	---	SET5	NP_012077.1;	YHR207C;	856614;	YHR207c;	S000001250;	4320_at
P53721	DIP-2726N	RCF2_YEAST	Respiratory supercomplex factor 2, mitochondrial (Altered inheritance of mitochondria protein 38)	RCF2 AIM38 YNR018W N3185	224	N3185	YNR018W	AIM38	RCF2	NP_014415.1;	YNR018W;	855752;	YNR018w;	S000005301;	8866_at
P38877	DIP-2727N	CTF8_YEAST	Chromosome transmission fidelity protein 8	CTF8 YHR191C	133	---	YHR191C	---	CTF8	NP_012061.3;	YHR191C;	856598;	YHR191c;	S000001234;	4351_at
Q05080	DIP-2729N	CYK2_YEAST	Cytokinesis protein 2 (Homolog of CDC15 protein 1)	HOF1 CYK2 YMR032W YM9973.05	669	YM9973.05	YMR032W	CYK2	HOF1	NP_013746.1;	YMR032W;	855048;	YMR032w;	S000004635;	9610_at
P25355	DIP-2728N	CTR86_YEAST	Copper transport protein 86	CTR86 YCR054C YCR54C	563	YCR54C	YCR054C	---	CTR86	NP_009983.1;	YCR054C;	850421;	YCR054c;	S000000650;	6842_at
P53979	DIP-2730N	YNB3_YEAST	Putative uncharacterized protein YNL013C	YNL013C N2854	125	N2854	YNL013C	---	---	---	YNL013C;	---	---	S000004958;	8882_at
Q99288	DIP-1816N	DET1_YEAST	Broad-range acid phosphatase DET1 (EC 3.1.3.-) (Decreased ergosterol transport protein 1)	DET1 YDR051C D4202	334	D4202	YDR051C	---	DET1	NP_010336.3;	YDR051C;	851621;	YDR051c;	S000002458;	6420_at
P32801	DIP-2731N	ELM1_YEAST	Serine/threonine-protein kinase ELM1 (EC 2.7.11.1)	ELM1 YKL048C YKL261	640	YKL261	YKL048C	---	ELM1	NP_012876.1;	YKL048C;	853818;	YKL048c;	S000001531;	10604_at
P38261	DIP-2732N	EXO84_YEAST	Exocyst complex component EXO84 (Exocyst complex protein of 84 kDa) (U1 SNP1-associating protein 3)	EXO84 USA3 YBR102C YBR0831	753	YBR0831	YBR102C	USA3	EXO84	NP_009660.1;	YBR102C;	852398;	YBR102c;	S000000306;	7238_at
Q06389	DIP-2733N	NCS1_YEAST	Calcium-binding protein NCS-1	FRQ1 NCS1 YDR373W D9481.6	190	D9481.6	YDR373W	NCS1	FRQ1	NP_010661.3;	YDR373W;	851979;	---	S000002781;	6115_at
Q04964	DIP-2734N	SML1_YEAST	Ribonucleotide reductase inhibitor protein SML1	SML1 YML058W YM9958.04	104	YM9958.04	YML058W	---	SML1	NP_013653.1;	YML058W;	854945;	YML058w;	S000004523;	9293_at;9696_at
P25555	DIP-2735N	GBP2_YEAST	Single-strand telomeric DNA-binding protein GBP2 (G-strand-binding protein 2) (RAP1 localization factor 6)	GBP2 RLF6 YCL011C YCL11C	427	YCL11C	YCL011C	RLF6	GBP2	NP_009916.1;	YCL011C;	850346;	YCL011c;	S000000517;	6914_at
Q05031	DIP-2739N	DFG5_YEAST	Mannan endo-1,6-alpha-mannosidase DFG5 (EC 3.2.1.101) (Endo-alpha-1->6-D-mannanase DFG5)	DFG5 YMR238W YM9959.20	458	YM9959.20	YMR238W	---	DFG5	NP_013965.1;	YMR238W;	855278;	YMR238w;	S000004851;	9377_at
P38682	DIP-2740N	GLO3_YEAST	ADP-ribosylation factor GTPase-activating protein GLO3 (ARF GAP GLO3)	GLO3 YER122C	493	---	YER122C	---	GLO3	NP_011048.1;	YER122C;	856859;	YER122c;	S000000924;	5607_at
P38270	DIP-2741N	ATG14_YEAST	Autophagy-related protein 14 (Cytoplasm to vacuole targeting protein 12)	ATG14 APG14 CVT12 YBR128C YBR1003	344	YBR1003	YBR128C	APG14 CVT12	ATG14	NP_009686.1;	YBR128C;	852425;	YBR128c;	S000000332;	7219_at
P06105	DIP-2742N	SC160_YEAST	Protein SCP160 (Protein HX)	SCP160 HX YJL080C J1017	1222	J1017	YJL080C	HX	SCP160	NP_012455.1;	YJL080C;	853365;	YJL080c;	S000003616;	11122_at
P38268	DIP-2743N	YBW6_YEAST	Putative uncharacterized protein YBR116C	YBR116C YBR0911	175	YBR0911	YBR116C	---	---	---	YBR116C;	---	---	S000000320;	7252_at;7253_g_at
P38740	DIP-2744N	YHC6_YEAST	Uncharacterized protein YHL026C	YHL026C	315	---	YHL026C	---	---	NP_011837.2;	YHL026C;	856359;	YHL026c;	S000001018;	4582_at
Q04751	DIP-2745N	NAT4_YEAST	Histone-specific N-acetyltransferase NAT4 (EC 2.3.1.-)	NAT4 YMR069W YM9916.08	285	YM9916.08	YMR069W	---	NAT4	NP_013785.1;	YMR069W;	855091;	YMR069w;	S000004673;	9554_at
P40956	DIP-2746N	GTS1_YEAST	Protein GTS1 (Protein LSR1)	GTS1 LSR1 YGL181W	396	---	YGL181W	LSR1	GTS1	NP_011334.1;	YGL181W;	852694;	YGL181w;	S000003149;	5199_at
Q08908	DIP-2747N	FRE5_YEAST	Ferric reductase transmembrane component 5 (EC 1.16.1.9) (Ferric-chelate reductase 5)	FRE5 YOR384W O6765	694	O6765	YOR384W	---	FRE5	NP_015029.1;	YOR384W;	854566;	YOR384w;	S000005911;	8138_at
P38348	DIP-2748N	HSM3_YEAST	DNA mismatch repair protein HSM3 (Enhanced spontaneous mutability protein 3)	HSM3 YBR272C YBR1740	480	YBR1740	YBR272C	---	HSM3	NP_009831.3;	YBR272C;	852575;	YBR272c;	S000000476;	7090_at
Q00539	DIP-2749N	NAM8_YEAST	Protein NAM8	NAM8 MRE2 YHR086W	523	---	YHR086W	MRE2	NAM8	NP_011954.1;	YHR086W;	856486;	YHR086w;	S000001128;	4468_at
P39703	DIP-2750N	YAA4_YEAST	Putative uncharacterized protein YAL004W	YAL004W	215	---	YAL004W	---	---	---	YAL004W;	---	---	S000002136;	11318_at
P53309	DIP-2751N	AP18B_YEAST	Clathrin coat assembly protein AP180B	YAP1802 YGR241C G8610	568	G8610	YGR241C	---	YAP1802	NP_011757.3;	YGR241C;	853157;	YGR241c;	S000003473;	4761_at
Q04401	DIP-2752N	SDHF3_YEAST	Succinate dehydrogenase assembly factor 3, mitochondrial (SDH assembly factor 3) (SDHAF3) (Acetate non-utilizing protein 9)	SDH7 ACN9 YDR511W D9719.16	133	D9719.16	YDR511W	ACN9	SDH7	NP_010799.3;	YDR511W;	852123;	YDR511w;	S000002919;	5935_at
P38867	DIP-2754N	YHX7_YEAST	Uncharacterized protein YHR177W	YHR177W	453	---	YHR177W	---	---	NP_012047.1;	YHR177W;	856582;	YHR177w;	S000001220;	4337_at
P40473	DIP-2755N	POG1_YEAST	Transcriptional activator POG1 (Promoter of growth protein 1)	POG1 YIL122W	351	---	YIL122W	---	POG1	NP_012144.1;	YIL122W;	854684;	YIL122w;	S000001384;	4234_at
Q06604	DIP-2756N	BSP1_YEAST	Protein BSP1 (Binding of synaptojanin polyphosphoinositide phosphatase domain protein 1)	BSP1 YPR171W	576	---	YPR171W	---	BSP1	NP_015497.1;	YPR171W;	856301;	YPR171w;	S000006375;	7569_at
Q04437	DIP-2757N	KU80_YEAST	ATP-dependent DNA helicase II subunit 2 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku80) (High affinity DNA-binding factor subunit 2) (Yeast Ku80)	YKU80 HDF2 YMR106C YM9718.05C	629	YM9718.05C	YMR106C	HDF2	YKU80	NP_013824.1;	YMR106C;	855132;	YMR106c;	S000004712;	9548_at
Q04344	DIP-2760N	HNT1_YEAST	Hit family protein 1 (EC 3.-.-.-) (Adenosine 5'-monophosphoramidase)	HNT1 HIT1 YDL125C	158	---	YDL125C	HIT1	HNT1	NP_010158.1;	YDL125C;	851432;	YDL125c;	S000002283;	6605_at;6606_at
P39677	DIP-2761N	RRF2M_YEAST	Ribosome-releasing factor 2, mitochondrial (RRF2mt) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2)	MEF2 YJL102W D819 J0826	819	D819 J0826	YJL102W	---	MEF2	NP_012433.1;	YJL102W;	853342;	YJL102w;	S000003638;	11145_at
P38274	DIP-2762N	HSL7_YEAST	Protein arginine N-methyltransferase HSL7 (EC 2.1.1.-) (Histone synthetic lethal protein 7) (Type II protein arginine N-methyltransferase) (Type II PRMT)	HSL7 YBR133C YBR1008	827	YBR1008	YBR133C	---	HSL7	NP_009691.1;	YBR133C;	852431;	YBR133c;	S000000337;	7224_at
P04037	DIP-2763N	COX4_YEAST	Cytochrome c oxidase subunit 4, mitochondrial (EC 1.9.3.1) (Cytochrome c oxidase polypeptide IV)	COX4 YGL187C G1362	155	G1362	YGL187C	---	COX4	NP_011328.1;	YGL187C;	852688;	YGL187c;	S000003155;	5193_at
P50942	DIP-2764N	INP52_YEAST	Polyphosphatidylinositol phosphatase INP52 (Synaptojanin-like protein 2) [Includes: SAC1-like phosphoinositide phosphatase (EC 3.1.3.-); Phosphatidylinositol 4,5-bisphosphate 5-phosphatase (EC 3.1.3.36)]	INP52 SJL2 YNL106C N2160	1183	N2160	YNL106C	SJL2	INP52	NP_014293.1;	YNL106C;	855618;	YNL106c;	S000005050;	8971_at
P25044	DIP-2765N	PTP1_YEAST	Tyrosine-protein phosphatase 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1) (PTPase 1)	PTP1 YDL230W	335	---	YDL230W	---	PTP1	NP_010051.1;	YDL230W;	851368;	YDL230w;	S000002389;	6723_at
P40063	DIP-2766N	RT105_YEAST	Regulator of Ty1 transposition protein 105	RTT105 YER104W	208	---	YER104W	---	RTT105	NP_011030.3;	YER104W;	856841;	YER104w;	S000000906;	5589_at
Q06580	DIP-2767N	MLC2_YEAST	Myosin light chain 2 (Calmodulin-like myosin light chain MLC2) (MYO1 light chain 2) (Myosin-1 light chain)	MLC2 YPR188C P9677.10	163	P9677.10	YPR188C	---	MLC2	NP_015514.1;	YPR188C;	856318;	YPR188c;	S000006392;	7540_at
Q08227	DIP-2768N	INP54_YEAST	Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54 (EC 3.1.3.36)	INP54 YOL065C	384	---	YOL065C	---	INP54	NP_014576.1;	YOL065C;	854089;	YOL065c;	S000005426;	8632_at
P46956	DIP-2769N	PHO86_YEAST	Inorganic phosphate transporter PHO86	PHO86 YJL117W J0744	311	J0744	YJL117W	---	PHO86	NP_012418.1;	YJL117W;	853325;	YJL117w;	S000003653;	11132_at
P46965	DIP-2770N	SPC1_YEAST	Signal peptidase complex subunit SPC1 (Microsomal signal peptidase subunit 1)	SPC1 YJR010C-A YJR010BW	94	YJR010BW	YJR010C-A	---	SPC1	NP_012544.1;	YJR010C-A;	853467;	YJR010c-a;	S000003770;	11033_at
Q12405	DIP-2772N	LPX1_YEAST	Peroxisomal membrane protein LPX1 (EC 3.1.1.-) (Lipase of peroxisomes protein 1)	LPX1 YOR084W YOR3120W	387	YOR3120W	YOR084W	---	LPX1	NP_014727.1;	YOR084W;	854251;	YOR084w;	S000005610;	8465_at
P38991	DIP-2771N	IPL1_YEAST	Spindle assembly checkpoint kinase (EC 2.7.11.1) (Aurora kinase) (Increase-in-ploidy protein 1)	IPL1 YPL209C	367	---	YPL209C	---	IPL1	NP_015115.1;	YPL209C;	855892;	YPL209c;	S000006130;	7949_at
O13564	DIP-2773N	YL428_YEAST	Putative uncharacterized protein YLR428C	YLR428C	114	---	YLR428C	---	---	---	YLR428C;	---	---	S000004420;	9875_at
P28004	DIP-2774N	PRP45_YEAST	Pre-mRNA-processing protein 45	PRP45 FUN20 YAL032C	379	---	YAL032C	FUN20	PRP45	NP_009370.1;	YAL032C;	851201;	YAL032c;	S000000030;	11334_at
P38837	DIP-2775N	NSG1_YEAST	Protein NSG1 (INSIG homolog 1)	NSG1 YHR133C	291	---	YHR133C	---	NSG1	NP_012001.1;	YHR133C;	856535;	YHR133c;	S000001175;	4382_at
Q03818	DIP-2144N	ATG16_YEAST	Autophagy protein 16 (Cytoplasm to vacuole targeting protein 11) (SAP18 homolog)	ATG16 APG15 APG16 CVT11 SAP18 YMR159C YM8520.08C	150	YM8520.08C	YMR159C	APG15 APG16 CVT11 SAP18	ATG16	NP_013882.1;	YMR159C;	855194;	YMR159c;	S000004769;	9471_at
